WiFi	LTE-U
3.7142857142857144	3.6666666666666665
3.375	4.333333333333333
5.2	4.333333333333333
4.333333333333333	4.5
4.5	4.5
4.5	3.75
3.7142857142857144	5.2
4.5	3.375
4.5	4.714285714285714
4.5	3.375
4.5	6.5
4.5	4.333333333333333
4.5	3.6666666666666665
4.5	5.2
4.5	4.333333333333333
6.5	4.5
4.5	4.5
6.5	4.5
4.5	4.333333333333333
4.5	4.5
5.2	4.5
3.7142857142857144	3.375
4.333333333333333	3.75
6.5	6.75
6.5	4.5
4.5	4.714285714285714
4.5	4.5
4.333333333333333	3.7142857142857144
4.5	5.5
4.5	9.0
4.333333333333333	4.5
4.5	4.5
4.5	4.333333333333333
4.333333333333333	4.5
4.5	4.333333333333333
4.5	4.5
6.75	4.5
9.0	4.5
5.2	4.333333333333333
4.5	4.5
4.5	4.333333333333333
4.5	4.5
4.5	5.2
3.7142857142857144	4.333333333333333
4.5	4.5
4.5	4.5
3.7142857142857144	4.333333333333333
4.5	3.7142857142857144
5.2	5.2
4.5	5.2
4.5	4.333333333333333
5.2	4.5
4.5	4.5
4.5	3.7142857142857144
6.75	4.5
9.0	4.5
4.5	4.714285714285714
4.5	4.5
4.5	4.5
3.5714285714285716	4.5
4.5	4.5
3.375	4.333333333333333
3.375	5.5
4.5	4.333333333333333
4.5	4.5
4.5	4.5
3.7142857142857144	4.5
6.5	4.5
3.375	4.714285714285714
4.5	4.5
4.5	6.5
3.7142857142857144	6.5
4.333333333333333	5.2
4.5	3.375
4.5	5.2
4.5	4.5
3.25	4.5
5.2	6.5
4.5	4.5
4.333333333333333	4.5
4.5	4.5
4.5	4.5
4.333333333333333	4.333333333333333
4.5	4.333333333333333
4.5	5.5
4.5	4.714285714285714
4.333333333333333	3.5714285714285716
4.5	4.5
5.2	3.7142857142857144
6.5	4.333333333333333
4.5	5.2
4.333333333333333	4.5
3.7142857142857144	4.5
5.2	4.5
6.5	4.714285714285714
4.333333333333333	5.5
3.5714285714285716	4.5
4.5	4.5
5.2	4.333333333333333
4.5	4.5
4.5	5.2
4.5	4.5
4.5	4.333333333333333
4.5	4.5
4.5	4.5
4.5	4.5
6.5	4.333333333333333
3.25	4.5
6.5	4.333333333333333
6.75	4.5
3.7142857142857144	3.375
4.5	4.5
4.5	4.5
3.7142857142857144	5.2
4.5	4.5
3.7142857142857144	5.2
4.5	4.5
3.5	5.2
4.5	4.5
4.5	4.5
3.375	5.2
4.5	4.5
4.333333333333333	4.5
4.5	5.2
4.5	4.5
4.333333333333333	4.714285714285714
4.5	6.5
6.5	4.333333333333333
3.7142857142857144	4.5
3.375	6.5
6.5	4.5
4.5	4.5
4.5	3.75
3.375	4.5
4.5	4.333333333333333
3.375	4.5
4.5	4.5
3.375	4.5
4.5	4.5
3.5	4.5
4.5	3.375
4.5	6.5
4.333333333333333	4.5
4.5	3.7142857142857144
4.5	4.5
4.5	4.5
3.7142857142857144	4.333333333333333
5.2	4.5
6.5	3.75
5.2	5.2
3.7142857142857144	3.7142857142857144
4.333333333333333	4.714285714285714
3.375	5.2
6.5	4.5
4.333333333333333	4.5
5.2	5.5
3.7142857142857144	5.2
4.5	5.5
5.2	4.5
4.5	4.333333333333333
3.7142857142857144	4.5
3.25	4.5
4.5	4.5
4.5	6.5
4.5	4.5
5.2	4.5
4.333333333333333	4.333333333333333
4.5	5.0
3.7142857142857144	4.5
4.5	5.2
4.5	4.333333333333333
3.7142857142857144	4.5
3.7142857142857144	3.375
4.5	4.333333333333333
4.5	6.5
4.5	4.0
6.5	6.5
4.5	4.5
4.5	4.5
5.2	4.5
5.2	4.5
4.333333333333333	3.75
4.333333333333333	3.375
6.5	4.5
4.5	4.333333333333333
4.5	4.5
5.2	3.7142857142857144
4.333333333333333	6.5
4.5	4.5
3.375	4.5
4.5	6.5
4.5	3.375
4.333333333333333	4.333333333333333
4.5	4.5
5.2	4.333333333333333
4.5	3.75
4.0	4.5
3.7142857142857144	4.333333333333333
3.7142857142857144	4.714285714285714
4.5	6.5
4.5	4.5
4.5	4.5
4.5	5.2
4.333333333333333	4.5
3.7142857142857144	4.333333333333333
4.5	4.5
4.5	4.5
4.5	4.714285714285714
4.5	4.714285714285714
4.5	4.5
4.5	3.75
4.5	4.333333333333333
3.375	4.5
4.5	5.2
4.5	6.5
5.2	4.5
4.333333333333333	4.5
3.7142857142857144	3.5714285714285716
4.5	5.2
4.5	4.5
4.5	5.2
3.375	3.25
4.333333333333333	4.714285714285714
4.5	3.7142857142857144
3.7142857142857144	4.333333333333333
4.5	4.5
3.7142857142857144	4.5
3.375	4.333333333333333
4.5	4.5
4.5	6.5
5.2	4.5
3.7142857142857144	6.5
6.5	3.375
4.5	4.5
4.333333333333333	5.2
4.0	4.714285714285714
4.5	4.5
3.375	5.2
3.7142857142857144	3.7142857142857144
3.7142857142857144	6.5
3.5	3.75
3.375	4.5
5.2	3.375
3.375	4.5
4.5	4.5
4.5	4.5
4.5	5.2
9.0	4.5
3.7142857142857144	4.5
3.7142857142857144	3.375
4.5	4.714285714285714
3.7142857142857144	6.5
4.5	5.2
4.5	4.5
3.7142857142857144	4.714285714285714
9.0	4.5
3.7142857142857144	9.0
5.2	3.6666666666666665
3.7142857142857144	5.2
3.7142857142857144	4.714285714285714
5.2	6.75
4.5	4.5
6.5	5.2
4.5	4.333333333333333
4.5	4.5
4.5	4.5
4.5	4.5
4.5	4.5
4.5	4.333333333333333
4.5	3.7142857142857144
4.5	4.5
3.7142857142857144	3.6666666666666665
4.333333333333333	4.5
4.5	4.333333333333333
4.333333333333333	4.333333333333333
5.2	3.7142857142857144
4.5	5.2
3.7142857142857144	4.5
4.5	4.5
3.5714285714285716	4.714285714285714
4.5	3.7142857142857144
4.5	6.75
6.5	4.5
4.5	4.5
6.5	4.333333333333333
4.5	6.75
6.5	4.333333333333333
5.2	6.5
3.375	3.6
4.5	6.75
3.7142857142857144	4.5
4.5	4.5
3.25	5.2
4.5	3.7142857142857144
4.5	4.5
3.7142857142857144	3.375
6.75	6.75
3.7142857142857144	9.0
4.5	4.5
6.75	3.375
9.0	4.333333333333333
3.375	4.5
4.5	4.5
3.7142857142857144	4.5
4.333333333333333	4.5
4.5	4.5
3.5	4.5
4.5	3.375
4.5	3.375
3.7142857142857144	4.5
3.25	3.75
3.375	4.5
5.2	4.5
6.5	4.714285714285714
3.7142857142857144	3.375
4.5	4.5
4.5	6.5
3.7142857142857144	4.333333333333333
4.5	3.75
4.5	6.5
3.375	3.7142857142857144
3.0	6.5
3.5714285714285716	3.25
6.5	4.5
3.7142857142857144	5.2
4.5	4.714285714285714
3.375	3.375
3.375	5.2
5.2	3.25
6.5	4.333333333333333
3.375	3.7142857142857144
4.5	4.5
4.5	3.375
3.7142857142857144	5.2
4.5	6.5
3.7142857142857144	4.714285714285714
4.5	5.2
4.333333333333333	3.375
3.0	3.375
4.5	4.333333333333333
4.5	5.0
6.5	4.714285714285714
4.5	4.5
3.7142857142857144	4.5
6.5	4.5
4.5	4.714285714285714
4.5	4.5
6.5	4.5
4.333333333333333	3.375
6.5	5.2
3.375	4.5
4.5	4.5
4.333333333333333	4.5
4.5	5.0
4.5	6.5
3.25	4.5
3.375	4.5
4.5	3.6666666666666665
4.5	4.5
3.375	4.333333333333333
4.333333333333333	4.5
4.5	4.5
3.7142857142857144	3.375
4.5	3.375
3.7142857142857144	4.5
4.5	5.2
6.5	4.5
6.5	4.5
4.5	4.333333333333333
4.333333333333333	4.5
6.5	4.5
3.375	4.5
4.5	3.375
4.5	4.5
4.5	4.5
4.5	4.714285714285714
4.5	4.714285714285714
4.5	3.75
3.7142857142857144	6.5
4.333333333333333	3.375
9.0	4.5
5.2	4.714285714285714
3.375	4.5
4.5	5.2
4.5	4.5
4.5	4.333333333333333
3.375	4.5
4.5	3.375
4.5	3.7142857142857144
5.2	3.375
3.375	3.7142857142857144
4.5	4.333333333333333
3.375	4.714285714285714
3.7142857142857144	4.714285714285714
6.5	4.5
4.5	4.5
3.375	4.5
3.7142857142857144	3.7142857142857144
3.375	3.7142857142857144
4.333333333333333	5.2
4.5	4.5
6.5	6.5
3.7142857142857144	4.333333333333333
3.7142857142857144	4.0
4.5	3.7142857142857144
4.5	3.75
4.5	3.375
4.5	4.5
4.5	3.375
3.25	4.125
3.375	3.75
4.5	3.6666666666666665
5.2	4.5
4.5	4.5
4.5	3.75
4.333333333333333	4.125
4.333333333333333	3.375
3.7142857142857144	4.5
3.7142857142857144	4.333333333333333
3.7142857142857144	4.5
3.375	4.5
3.7142857142857144	3.7142857142857144
6.5	4.5
4.5	4.5
4.5	5.0
4.5	4.5
3.375	4.5
4.5	4.5
4.5	3.7142857142857144
4.5	3.375
3.7142857142857144	4.5
4.5	4.5
4.5	3.6666666666666665
4.5	3.375
5.2	4.125
3.7142857142857144	4.5
4.333333333333333	4.5
4.333333333333333	3.7142857142857144
5.2	3.375
3.25	5.2
4.333333333333333	4.5
4.5	4.333333333333333
3.7142857142857144	4.5
4.5	5.5
4.5	5.2
4.5	6.5
5.2	4.5
4.5	4.5
4.5	4.5
4.5	6.5
4.5	6.5
4.5	3.7142857142857144
4.5	4.5
5.2	4.125
4.5	4.5
3.7142857142857144	4.125
4.333333333333333	5.2
5.2	3.6
4.5	3.375
4.5	4.5
3.375	3.7142857142857144
4.5	3.6666666666666665
4.5	5.2
5.2	3.7142857142857144
5.2	5.2
4.333333333333333	4.5
3.7142857142857144	4.5
4.5	3.375
4.5	3.7142857142857144
4.5	5.2
4.5	4.5
4.5	6.5
4.333333333333333	4.333333333333333
4.5	4.5
4.333333333333333	4.5
4.5	4.5
6.5	6.75
4.5	4.714285714285714
3.7142857142857144	5.2
4.5	6.5
4.5	3.7142857142857144
3.6	4.5
4.333333333333333	4.714285714285714
5.2	3.7142857142857144
4.5	6.5
3.7142857142857144	4.333333333333333
4.5	3.375
4.5	4.5
4.5	4.5
4.5	6.5
4.5	4.5
4.5	3.375
4.5	5.5
4.333333333333333	3.375
4.5	3.7142857142857144
4.5	5.2
3.7142857142857144	4.714285714285714
4.5	4.333333333333333
4.5	4.333333333333333
6.5	4.5
3.7142857142857144	4.5
4.5	5.2
4.5	4.5
4.5	4.5
6.5	5.2
5.2	4.5
4.5	4.125
4.5	4.5
5.2	3.7142857142857144
4.5	4.5
5.2	3.375
5.2	4.5
4.333333333333333	4.5
4.5	3.5
3.7142857142857144	4.5
3.0	3.75
4.333333333333333	4.5
4.5	4.5
5.2	4.5
3.375	4.333333333333333
4.5	6.5
3.375	3.375
4.333333333333333	3.7142857142857144
4.5	6.5
4.5	4.5
4.5	4.125
4.5	4.5
4.5	4.714285714285714
5.2	4.333333333333333
5.2	6.5
3.375	3.375
5.2	4.333333333333333
5.2	3.375
4.5	5.2
5.2	4.5
3.7142857142857144	6.5
3.375	4.5
6.75	5.2
5.2	4.5
3.7142857142857144	3.375
4.5	4.125
4.5	5.2
4.5	3.375
3.7142857142857144	4.5
4.5	3.75
3.7142857142857144	3.7142857142857144
4.5	4.125
6.5	4.5
4.5	3.375
3.7142857142857144	5.2
5.2	4.5
4.5	3.7142857142857144
4.5	3.7142857142857144
3.375	4.5
4.5	6.5
3.25	4.5
3.7142857142857144	4.0
6.5	3.7142857142857144
4.5	4.333333333333333
4.5	4.333333333333333
4.333333333333333	4.333333333333333
4.5	3.75
4.5	6.5
6.5	6.5
3.7142857142857144	4.5
4.5	4.5
4.5	4.333333333333333
4.5	4.333333333333333
6.5	6.5
5.2	4.5
4.5	4.5
4.5	4.5
4.5	6.5
3.7142857142857144	4.5
3.375	3.7142857142857144
5.2	3.375
4.333333333333333	6.5
4.5	4.125
4.5	5.0
4.5	4.5
3.25	3.7142857142857144
4.5	4.333333333333333
4.5	5.2
4.5	3.375
4.5	4.5
4.5	3.375
6.5	4.5
4.333333333333333	3.75
4.5	3.6
4.5	4.333333333333333
3.5714285714285716	6.5
3.7142857142857144	3.7142857142857144
4.5	4.5
4.5	5.0
4.5	4.5
3.7142857142857144	4.333333333333333
4.5	4.5
4.5	5.2
4.5	4.333333333333333
4.5	5.2
6.5	4.5
4.5	3.7142857142857144
4.5	5.2
4.333333333333333	4.5
6.5	3.7142857142857144
5.2	5.2
4.5	4.5
4.333333333333333	3.7142857142857144
4.5	6.5
6.5	6.5
4.5	4.333333333333333
5.2	5.2
4.5	6.5
4.5	3.7142857142857144
5.2	4.5
4.5	3.6666666666666665
4.5	4.5
6.5	4.333333333333333
4.5	4.5
4.5	3.7142857142857144
4.5	4.333333333333333
3.375	4.5
4.5	3.375
5.2	3.7142857142857144
4.5	4.5
4.5	3.375
4.5	5.2
4.5	5.2
4.5	3.375
4.5	4.333333333333333
4.5	4.5
4.333333333333333	4.5
3.7142857142857144	4.5
3.7142857142857144	6.5
6.75	3.375
6.5	3.375
4.5	4.5
4.5	4.5
4.5	3.6666666666666665
4.5	4.5
4.5	3.375
4.333333333333333	4.5
4.5	5.2
4.333333333333333	6.5
4.5	4.5
3.6	4.5
4.5	3.7142857142857144
6.5	3.7142857142857144
4.5	4.5
4.5	4.5
3.375	4.5
5.2	4.5
6.5	3.375
3.7142857142857144	3.7142857142857144
6.5	4.5
6.5	4.5
4.5	4.333333333333333
4.5	6.5
4.5	4.5
4.333333333333333	3.7142857142857144
6.5	3.7142857142857144
4.5	3.6666666666666665
3.7142857142857144	5.2
4.5	3.6666666666666665
4.5	4.5
4.5	4.5
4.5	3.375
3.375	4.5
4.5	6.5
4.5	6.5
4.333333333333333	4.5
3.375	6.5
4.5	4.5
4.5	4.5
4.5	6.5
3.7142857142857144	4.5
3.375	4.5
4.5	4.5
6.5	4.5
4.5	4.5
4.5	5.0
4.5	6.5
4.5	4.5
3.375	4.333333333333333
6.5	3.75
3.7142857142857144	6.5
4.5	3.7142857142857144
3.7142857142857144	4.5
3.375	4.5
4.5	4.333333333333333
3.375	4.5
3.375	4.333333333333333
3.375	3.6666666666666665
5.2	4.5
6.5	4.333333333333333
3.7142857142857144	4.5
4.5	3.7142857142857144
4.5	4.5
3.7142857142857144	4.0
3.7142857142857144	4.5
4.5	4.5
3.375	3.6666666666666665
3.375	3.6666666666666665
5.2	9.0
3.375	4.5
3.375	4.5
3.7142857142857144	5.2
4.5	3.7142857142857144
4.5	4.5
4.333333333333333	4.5
3.7142857142857144	4.333333333333333
6.5	4.333333333333333
6.5	3.7142857142857144
4.5	3.6666666666666665
4.5	3.7142857142857144
4.5	4.5
4.5	4.5
5.2	4.333333333333333
5.2	4.5
4.5	4.5
6.5	4.5
4.5	4.5
3.375	6.5
4.5	3.375
4.5	6.5
4.5	4.5
4.5	5.2
4.5	4.5
4.5	3.375
4.5	4.5
3.7142857142857144	4.333333333333333
5.2	3.7142857142857144
4.5	4.5
4.5	4.5
3.375	5.2
4.5	4.5
4.333333333333333	4.5
3.375	4.5
4.5	4.5
4.5	4.5
3.375	3.375
3.7142857142857144	3.6666666666666665
3.375	4.333333333333333
4.5	3.7142857142857144
4.5	3.375
5.2	3.375
4.5	4.5
4.333333333333333	5.2
3.375	4.5
4.5	6.5
6.5	3.75
5.2	3.7142857142857144
6.5	4.5
3.7142857142857144	4.333333333333333
6.5	3.7142857142857144
3.7142857142857144	3.7142857142857144
3.375	4.5
4.333333333333333	4.5
4.333333333333333	3.75
4.5	4.5
4.5	3.6666666666666665
4.5	4.5
3.7142857142857144	6.75
4.5	3.7142857142857144
4.5	4.714285714285714
4.5	5.2
3.7142857142857144	6.5
4.5	4.333333333333333
3.7142857142857144	3.7142857142857144
3.7142857142857144	5.2
3.375	4.5
4.5	4.5
4.333333333333333	4.5
3.7142857142857144	4.5
3.6	3.375
6.5	4.5
4.333333333333333	4.5
4.5	4.5
4.5	3.7142857142857144
4.5	4.5
4.5	4.5
4.5	4.5
4.5	3.375
4.333333333333333	6.75
3.7142857142857144	5.2
4.333333333333333	4.5
4.5	4.714285714285714
4.5	5.2
6.5	3.6666666666666665
4.5	4.5
4.5	4.5
4.5	5.2
4.5	4.5
4.5	6.5
5.2	4.333333333333333
5.2	4.714285714285714
4.5	4.5
3.7142857142857144	3.375
3.375	6.5
4.5	5.2
4.5	4.5
3.375	6.5
4.5	4.5
4.333333333333333	3.7142857142857144
4.333333333333333	4.5
3.7142857142857144	4.5
4.5	4.5
3.7142857142857144	4.5
3.5	6.5
3.7142857142857144	4.5
3.7142857142857144	6.5
4.333333333333333	4.5
5.2	4.5
4.5	4.5
4.5	4.5
5.2	4.714285714285714
4.5	5.2
4.5	4.5
3.375	6.5
4.0	6.75
6.5	3.75
4.333333333333333	5.2
6.75	6.5
4.5	6.75
4.5	4.5
5.2	3.375
4.5	5.2
5.2	9.0
4.5	3.375
4.5	4.5
4.5	4.5
3.5714285714285716	6.5
4.5	4.5
3.7142857142857144	4.5
4.333333333333333	4.5
4.5	4.5
4.5	4.333333333333333
4.5	4.5
4.5	5.2
4.5	4.5
3.5	4.5
4.5	5.2
4.333333333333333	4.5
4.5	5.5
5.2	5.2
3.7142857142857144	4.5
4.5	6.5
6.5	3.75
3.375	4.5
4.333333333333333	4.5
5.2	4.5
4.5	5.0
4.333333333333333	4.333333333333333
6.75	6.5
4.333333333333333	4.5
6.5	5.2
4.5	4.5
6.5	4.5
6.5	4.5
4.5	4.333333333333333
4.5	4.5
4.5	4.333333333333333
4.5	4.714285714285714
6.5	9.0
3.7142857142857144	4.5
3.7142857142857144	6.75
4.5	5.2
3.375	3.7142857142857144
4.0	6.5
4.333333333333333	4.5
6.75	4.333333333333333
6.75	4.5
5.2	6.5
4.5	4.714285714285714
4.333333333333333	4.5
5.2	5.2
6.5	6.75
3.7142857142857144	4.5
5.2	6.75
4.0	6.5
4.5	9.0
4.5	4.5
5.2	3.6666666666666665
6.5	6.5
4.333333333333333	5.2
6.5	4.5
4.5	4.5
6.5	4.5
9.0	4.5
4.5	4.714285714285714
4.5	3.7142857142857144
3.375	5.2
4.333333333333333	3.375
4.5	5.2
4.333333333333333	4.5
4.5	4.5
4.5	4.714285714285714
4.5	3.7142857142857144
6.75	4.5
4.5	6.5
4.5	5.2
4.5	6.5
3.6	4.5
6.5	9.0
6.5	5.2
4.5	6.5
3.375	9.0
6.5	4.5
4.5	6.75
4.5	5.2
4.5	4.5
4.5	4.5
6.5	3.7142857142857144
3.7142857142857144	4.5
4.5	6.75
4.5	6.75
4.5	4.5
6.75	4.333333333333333
4.5	4.5
4.5	6.5
4.333333333333333	5.2
4.5	4.333333333333333
4.5	5.2
4.5	4.5
9.0	4.5
4.5	4.5
4.5	9.0
3.7142857142857144	4.5
6.5	6.5
4.5	6.5
3.7142857142857144	9.0
4.5	4.5
3.7142857142857144	4.5
3.7142857142857144	4.333333333333333
5.2	6.5
4.333333333333333	4.5
9.0	6.75
3.375	4.5
4.5	4.5
4.5	4.5
4.333333333333333	6.75
4.5	4.333333333333333
4.5	4.333333333333333
6.5	6.5
4.5	6.75
3.5	3.7142857142857144
4.5	5.2
6.5	6.5
5.2	5.2
4.333333333333333	4.333333333333333
3.7142857142857144	6.5
4.5	6.5
4.5	6.5
4.5	4.5
5.2	4.5
4.5	4.5
4.5	4.5
9.0	3.7142857142857144
4.5	4.5
4.5	6.5
6.75	6.5
6.5	4.333333333333333
4.5	6.75
6.75	3.75
4.5	4.333333333333333
4.333333333333333	6.75
4.5	3.7142857142857144
4.333333333333333	4.333333333333333
4.5	4.5
4.5	5.2
4.5	6.75
4.5	4.714285714285714
4.5	4.5
4.5	6.5
4.5	6.5
4.5	4.5
4.5	4.5
3.375	4.5
4.5	4.5
5.2	4.333333333333333
4.5	4.5
4.5	6.75
3.7142857142857144	6.75
4.5	4.333333333333333
5.2	4.5
4.5	4.5
5.2	4.333333333333333
6.5	4.5
9.0	4.714285714285714
4.5	9.0
5.2	3.7142857142857144
4.5	5.2
5.2	4.714285714285714
4.333333333333333	3.7142857142857144
8.666666666666666	4.5
6.75	4.5
5.2	5.2
4.5	4.5
4.5	3.7142857142857144
4.5	4.5
3.375	4.5
4.5	4.333333333333333
4.5	6.5
4.5	4.5
4.5	4.333333333333333
6.5	5.2
4.5	4.5
4.5	4.5
4.5	3.7142857142857144
3.7142857142857144	4.5
4.5	3.7142857142857144
9.0	5.2
6.75	3.7142857142857144
3.7142857142857144	3.7142857142857144
4.5	5.2
4.333333333333333	4.5
4.5	5.2
4.333333333333333	6.5
6.75	4.5
3.7142857142857144	4.5
4.5	4.5
4.5	5.2
4.5	4.714285714285714
5.2	4.0
6.75	3.75
9.0	6.75
5.2	3.6666666666666665
6.5	4.5
4.5	4.5
4.5	4.5
5.2	4.5
5.2	4.714285714285714
6.75	4.5
4.5	4.714285714285714
6.75	3.6666666666666665
9.0	4.333333333333333
4.5	4.5
4.5	4.5
4.5	6.5
4.5	6.5
4.5	3.75
4.5	4.333333333333333
6.5	4.5
4.5	4.5
3.7142857142857144	4.714285714285714
3.7142857142857144	4.5
4.5	4.714285714285714
4.333333333333333	6.5
4.5	3.6666666666666665
4.5	4.5
4.5	3.7142857142857144
9.0	4.5
5.2	4.5
3.7142857142857144	4.5
4.333333333333333	6.5
3.7142857142857144	4.333333333333333
6.75	4.5
5.2	4.5
4.5	5.2
5.2	6.5
4.5	4.5
5.2	3.7142857142857144
6.75	4.5
4.5	4.5
4.333333333333333	4.333333333333333
4.333333333333333	4.333333333333333
4.5	3.7142857142857144
3.7142857142857144	3.375
9.0	6.75
4.5	3.375
4.5	4.5
4.5	4.5
4.333333333333333	5.2
4.333333333333333	3.7142857142857144
4.5	6.75
3.7142857142857144	6.5
4.5	4.5
4.5	5.2
4.333333333333333	6.5
4.5	3.6666666666666665
4.5	4.333333333333333
4.5	3.75
4.5	3.375
4.5	4.5
4.5	5.2
4.5	4.5
5.2	4.5
6.75	5.2
3.7142857142857144	4.333333333333333
4.5	3.7142857142857144
3.375	6.5
4.5	4.5
4.333333333333333	6.5
5.2	3.7142857142857144
4.5	4.5
6.75	4.5
3.7142857142857144	4.333333333333333
6.5	4.5
4.333333333333333	6.5
4.5	6.5
5.2	5.2
4.5	4.5
6.75	4.5
4.5	4.0
4.5	4.333333333333333
4.333333333333333	6.5
5.2	5.5
6.5	4.714285714285714
4.5	4.5
4.333333333333333	4.5
4.5	4.333333333333333
4.333333333333333	4.5
4.5	4.5
4.5	4.5
4.5	4.714285714285714
3.7142857142857144	4.714285714285714
4.5	3.75
4.5	5.2
4.5	4.5
4.5	4.333333333333333
5.2	5.0
5.2	5.5
5.2	4.5
4.5	5.5
4.5	4.5
4.5	3.7142857142857144
4.5	4.125
6.5	4.5
4.5	4.5
6.5	4.5
3.375	4.5
3.7142857142857144	4.5
6.75	4.5
4.5	4.5
3.7142857142857144	4.5
4.5	4.125
3.7142857142857144	5.0
4.5	5.2
4.5	4.0
4.5	4.5
3.7142857142857144	6.5
4.5	4.333333333333333
4.333333333333333	3.7142857142857144
4.5	4.5
4.5	3.7142857142857144
3.375	4.5
4.5	3.7142857142857144
4.5	4.5
3.7142857142857144	3.7142857142857144
4.333333333333333	3.375
4.5	3.7142857142857144
5.2	3.7142857142857144
4.333333333333333	4.5
4.5	3.375
6.75	3.375
4.5	3.6666666666666665
4.5	3.75
4.5	4.5
4.5	4.5
4.333333333333333	4.5
4.333333333333333	3.375
4.5	3.375
4.5	4.5
6.5	3.7142857142857144
4.5	3.7142857142857144
4.5	5.2
3.7142857142857144	3.7142857142857144
4.5	3.375
4.333333333333333	4.5
4.5	3.6666666666666665
4.5	3.6666666666666665
4.5	4.5
4.333333333333333	3.7142857142857144
4.5	3.75
6.5	3.7142857142857144
4.5	3.375
4.333333333333333	5.2
4.5	5.2
4.5	4.5
4.5	3.7142857142857144
4.5	4.333333333333333
4.333333333333333	3.25
3.7142857142857144	4.5
4.5	5.2
3.5714285714285716	3.7142857142857144
4.5	4.5
6.5	3.6666666666666665
4.5	3.5714285714285716
3.7142857142857144	3.7142857142857144
4.5	4.333333333333333
4.333333333333333	4.5
4.5	4.125
4.5	4.5
4.5	6.5
4.5	5.2
4.5	3.6666666666666665
4.5	3.7142857142857144
4.5	3.7142857142857144
4.5	3.7142857142857144
4.5	5.2
4.5	3.375
4.333333333333333	4.5
6.5	4.5
3.7142857142857144	6.5
3.7142857142857144	3.7142857142857144
4.333333333333333	3.5
3.7142857142857144	3.375
4.5	4.5
4.5	3.375
3.7142857142857144	4.5
4.5	3.7142857142857144
3.375	3.375
4.5	3.6666666666666665
6.5	4.333333333333333
3.7142857142857144	4.5
4.5	3.375
3.7142857142857144	4.5
4.5	3.6666666666666665
3.375	4.5
3.7142857142857144	3.7142857142857144
6.5	4.5
4.5	6.5
3.375	4.5
3.375	4.333333333333333
6.5	3.7142857142857144
3.375	4.5
3.375	3.6666666666666665
3.25	4.5
3.7142857142857144	4.5
4.5	4.333333333333333
4.5	4.5
4.5	4.333333333333333
4.5	6.5
3.7142857142857144	4.5
3.25	4.333333333333333
3.5	3.375
3.375	6.5
3.25	3.75
5.2	3.375
4.5	5.2
4.5	4.5
6.5	4.5
4.5	4.5
4.5	4.5
3.375	4.5
6.5	5.2
4.5	3.375
3.25	5.2
4.5	3.7142857142857144
4.5	3.7142857142857144
4.5	4.5
3.25	4.5
3.375	4.333333333333333
5.2	4.5
4.5	3.375
3.7142857142857144	3.25
6.75	4.333333333333333
4.5	4.5
4.5	3.375
3.5	4.5
5.2	4.5
3.7142857142857144	4.5
3.25	3.7142857142857144
3.7142857142857144	4.5
4.5	4.5
4.5	3.7142857142857144
4.5	5.2
3.375	3.25
3.375	4.333333333333333
3.375	3.7142857142857144
3.6	4.5
3.375	4.5
4.5	4.5
3.7142857142857144	4.5
3.7142857142857144	6.5
4.5	4.5
6.5	4.5
3.375	4.333333333333333
3.375	4.5
3.7142857142857144	6.5
4.5	4.5
6.5	4.5
3.7142857142857144	4.5
4.333333333333333	4.5
3.375	4.5
4.5	4.5
4.5	6.5
3.6	4.5
5.2	3.7142857142857144
3.375	4.5
4.5	4.5
3.375	4.5
3.375	4.333333333333333
3.7142857142857144	4.5
4.5	6.5
4.5	5.2
3.375	3.25
4.5	4.5
3.25	3.375
4.333333333333333	4.5
3.375	3.375
3.375	3.6666666666666665
4.5	4.5
4.5	4.5
3.375	4.5
6.5	4.5
6.5	4.5
4.5	6.5
4.5	3.6666666666666665
3.375	3.6666666666666665
6.5	6.5
4.5	3.7142857142857144
4.5	5.2
3.7142857142857144	3.25
4.333333333333333	3.7142857142857144
3.375	3.7142857142857144
6.5	3.7142857142857144
4.5	3.7142857142857144
6.5	4.5
6.5	4.5
4.5	3.375
3.375	5.2
4.333333333333333	4.5
3.375	3.7142857142857144
3.25	3.75
3.375	3.375
4.5	3.7142857142857144
4.5	6.5
4.5	4.5
4.5	4.5
3.375	5.2
4.5	4.5
4.5	3.375
3.25	4.5
3.375	4.5
3.7142857142857144	3.5714285714285716
6.5	6.5
3.375	4.5
3.375	3.75
4.333333333333333	3.7142857142857144
4.5	4.333333333333333
4.333333333333333	4.5
3.375	3.6666666666666665
4.5	4.5
3.7142857142857144	3.375
3.375	4.5
4.333333333333333	3.7142857142857144
3.375	4.333333333333333
4.5	3.7142857142857144
6.5	4.5
4.5	4.5
4.5	4.5
3.375	4.0
5.2	3.7142857142857144
4.5	4.5
3.375	4.5
3.25	4.5
5.2	3.375
4.333333333333333	6.5
6.5	5.2
5.2	4.5
3.7142857142857144	4.5
3.7142857142857144	3.25
4.5	3.6666666666666665
4.5	4.5
4.5	6.5
3.7142857142857144	3.7142857142857144
4.5	4.5
4.5	3.375
3.5	3.375
4.5	4.5
4.5	4.5
3.7142857142857144	4.5
3.375	4.333333333333333
4.5	3.6666666666666665
3.375	4.5
4.5	4.5
5.2	4.5
4.5	3.5
4.5	3.6666666666666665
4.5	4.714285714285714
4.5	3.75
3.375	4.5
3.25	4.333333333333333
